mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Reservoir,place-rsmnl,5556,1768,62,90,29,665,1552
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Riverside,place-river,16143,0,62,260,0,260,1553
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Riverway,place-rvrwy,7054,80,62,114,1,203,1554
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Saint Mary's Street,place-smary,4901,4248,62,79,69,1024,1555
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Saint Paul Street,place-stpul,9172,631,62,148,10,929,1556
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Science Park/West End,place-spmnl,2071,10096,62,33,163,481,1557
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,South Street,place-sougr,2860,28,62,46,0,133,1558
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Summit Avenue,place-sumav,4890,806,62,79,13,575,1559
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Sutherland Road,place-sthld,8093,408,62,131,7,450,1560
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Symphony,place-symcl,12624,2304,62,204,37,813,1561
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Tappan Street,place-tapst,5112,149,62,82,2,281,1562
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Union Square,place-unsqu,0,6402,62,0,103,0,1563
Light Rail,Fall 2024,Green,Green Line,EB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Waban,place-waban,2286,144,62,37,2,341,1564
