zip_code,postal_area_name,city,county,chia_region
01654,Worcester,Worcester,Worcester,Central Massachusetts
01655,Worcester,Worcester,Worcester,Central Massachusetts
01701,Framingham,Framingham,Middlesex,Metro West
01702,Framingham,Framingham,Middlesex,Metro West
01703,Framingham,Framingham,Middlesex,Metro West
01704,Framingham,Framingham,Middlesex,Metro West
01705,Framingham,Framingham,Middlesex,Metro West
01718,Village Of Nagog Woods,Acton,Middlesex,Northeastern Massachusetts
01719,Boxborough,Boxborough,Middlesex,Northeastern Massachusetts
01720,Acton,Acton,Middlesex,Northeastern Massachusetts
01721,Ashland,Ashland,Middlesex,Metro West
01730,Bedford,Bedford,Middlesex,Northeastern Massachusetts
01731,Hanscom Afb,Lincoln,Middlesex,Northeastern Massachusetts
01740,Bolton,Bolton,Worcester,Metro West
01741,Carlisle,Carlisle,Middlesex,Northeastern Massachusetts
01742,Concord,Concord,Middlesex,Northeastern Massachusetts
01745,Fayville,Southborough,Worcester,Metro West
01746,Holliston,Holliston,Middlesex,Metro West
01747,Hopedale,Hopedale,Worcester,Central Massachusetts
01748,Hopkinton,Hopkinton,Middlesex,Metro West
01749,Hudson,Hudson,Middlesex,Metro West
01752,Marlborough,Marlborough,Middlesex,Metro West
01754,Maynard,Maynard,Middlesex,Northeastern Massachusetts
01756,Mendon,Mendon,Worcester,Central Massachusetts
01757,Milford,Milford,Worcester,Metro West
01760,Natick,Natick,Middlesex,Metro West
01770,Sherborn,Sherborn,Middlesex,Metro West
01772,Southborough,Southborough,Worcester,Metro West
01773,Lincoln,Lincoln,Middlesex,Northeastern Massachusetts
01775,Stow,Stow,Middlesex,Northeastern Massachusetts
01776,Sudbury,Sudbury,Middlesex,Northeastern Massachusetts
01778,Wayland,Wayland,Middlesex,Metro West
01784,Woodville,Hopkinton,Middlesex,Metro West
01801,Woburn,Woburn,Middlesex,Northeastern Massachusetts
01803,Burlington,Burlington,Middlesex,Northeastern Massachusetts
01805,Burlington,Burlington,Middlesex,Northeastern Massachusetts
01807,Woburn,Woburn,Middlesex,Northeastern Massachusetts
01808,Woburn,Woburn,Middlesex,Northeastern Massachusetts
01810,Andover,Andover,Essex,Northeastern Massachusetts
1812,Andover,Andover,Essex,Northeastern Massachusetts
01813,Woburn,Woburn,Middlesex,Northeastern Massachusetts
01815,Woburn,Woburn,Middlesex,Northeastern Massachusetts
01821,Billerica,Billerica,Middlesex,Northeastern Massachusetts
01822,Billerica,Billerica,Middlesex,Northeastern Massachusetts
01823,Haverhill,Haverhill,Essex,Northeastern Massachusetts
01824,Chelmsford,Chelmsford,Middlesex,Northeastern Massachusetts
01826,Dracut,Dracut,Middlesex,Northeastern Massachusetts
01827,Dunstable,Dunstable,Middlesex,Northeastern Massachusetts
01830,Haverhill,Haverhill,Essex,Northeastern Massachusetts
01831,Haverhill,Haverhill,Essex,Northeastern Massachusetts
01832,Haverhill,Haverhill,Essex,Northeastern Massachusetts
01833,Georgetown,Georgetown,Essex,Northeastern Massachusetts
01834,Groveland,Groveland,Essex,Northeastern Massachusetts
01835,Haverhill,Haverhill,Essex,Northeastern Massachusetts
01840,Lawrence,Lawrence,Essex,Northeastern Massachusetts
01841,Lawrence,Lawrence,Essex,Northeastern Massachusetts
01842,Lawrence,Lawrence,Essex,Northeastern Massachusetts
01843,Lawrence,Lawrence,Essex,Northeastern Massachusetts
01844,Methuen,Methuen,Essex,Northeastern Massachusetts
01845,North Andover,North Andover,Essex,Northeastern Massachusetts
01850,Lowell,Lowell,Middlesex,Northeastern Massachusetts
01851,Lowell,Lowell,Middlesex,Northeastern Massachusetts
01852,Lowell,Lowell,Middlesex,Northeastern Massachusetts
01853,Lowell,Lowell,Middlesex,Northeastern Massachusetts
01854,Lowell,Lowell,Middlesex,Northeastern Massachusetts
01856,Lowell,Lowell,Middlesex,Northeastern Massachusetts
01860,Merrimac,Merrimac,Essex,Northeastern Massachusetts
01862,North Billerica,Billerica,Middlesex,Northeastern Massachusetts
01863,North Chelmsford,Chelmsford,Middlesex,Northeastern Massachusetts
01864,North Reading,North Reading,Middlesex,Northeastern Massachusetts
01865,Billerica,Billerica,Middlesex,Northeastern Massachusetts
01866,Billerica,Billerica,Middlesex,Northeastern Massachusetts
01867,Reading,Reading,Middlesex,Northeastern Massachusetts
01876,Tewksbury,Tewksbury,Middlesex,Northeastern Massachusetts
01878,Tyngsborough,Tyngsborough,Middlesex,Northeastern Massachusetts
01879,Tyngsboro,Tyngsborough,Middlesex,Northeastern Massachusetts
01880,Wakefield,Wakefield,Middlesex,Metro Boston
01885,West Boxford,Boxford,Essex,Northeastern Massachusetts
01886,Westford,Westford,Middlesex,Northeastern Massachusetts
01887,Wilmington,Wilmington,Middlesex,Northeastern Massachusetts
01888,Woburn,Woburn,Middlesex,Northeastern Massachusetts
01889,North Reading,North Reading,Middlesex,Northeastern Massachusetts
01890,Winchester,Winchester,Middlesex,Northeastern Massachusetts
01899,Andover,Andover,Essex,Northeastern Massachusetts
01901,Lynn,Lynn,Essex,Northeastern Massachusetts
01902,Lynn,Lynn,Essex,Northeastern Massachusetts
01903,Lynn,Lynn,Essex,Northeastern Massachusetts
01904,Lynn,Lynn,Essex,Northeastern Massachusetts
01905,Lynn,Lynn,Essex,Northeastern Massachusetts
01906,Saugus,Saugus,Essex,Metro Boston
01907,Swampscott,Swampscott,Essex,Northeastern Massachusetts
01908,Nahant,Nahant,Essex,Northeastern Massachusetts
01910,Lynn,Lynn,Essex,Northeastern Massachusetts
01913,Amesbury,Amesbury,Essex,Northeastern Massachusetts
01915,Beverly,Beverly,Essex,Northeastern Massachusetts
01921,Boxford,Boxford,Essex,Northeastern Massachusetts
01922,Byfield,Newbury,Essex,Northeastern Massachusetts
01923,Danvers,Danvers,Essex,Northeastern Massachusetts
01929,Essex,Essex,Essex,Northeastern Massachusetts
01930,Gloucester,Gloucester,Essex,Northeastern Massachusetts
01931,Gloucester,Gloucester,Essex,Northeastern Massachusetts
01936,Hamilton,Hamilton,Essex,Northeastern Massachusetts
01937,Hathorne,Danvers,Essex,Northeastern Massachusetts
01938,Ipswich,Ipswich,Essex,Northeastern Massachusetts
01940,Lynnfield,Lynnfield,Essex,Northeastern Massachusetts
01944,Manchester,Manchester By The Sea,Essex,Northeastern Massachusetts
01945,Marblehead,Marblehead,Essex,Northeastern Massachusetts
01947,Salem,Salem,Essex,Northeastern Massachusetts
01949,Middleton,Middleton,Essex,Northeastern Massachusetts
01950,Newburyport,Newburyport,Essex,Northeastern Massachusetts
01951,Newbury,Newbury,Essex,Northeastern Massachusetts
01952,Salisbury,Salisbury,Essex,Northeastern Massachusetts
01960,Peabody,Peabody,Essex,Northeastern Massachusetts
01961,Peabody,Peabody,Essex,Northeastern Massachusetts
01965,Prides Crossing,Beverly,Essex,Northeastern Massachusetts
01966,Rockport,Rockport,Essex,Northeastern Massachusetts
01969,Rowley,Rowley,Essex,Northeastern Massachusetts
01970,Salem,Salem,Essex,Northeastern Massachusetts
01971,Salem,Salem,Essex,Northeastern Massachusetts
01982,South Hamilton,Hamilton,Essex,Northeastern Massachusetts
01983,Topsfield,Topsfield,Essex,Northeastern Massachusetts
01984,Wenham,Wenham,Essex,Northeastern Massachusetts
01985,West Newbury,West Newbury,Essex,Northeastern Massachusetts
02018,Accord,Hingham,Plymouth,Metro South
02019,Bellingham,Bellingham,Norfolk,Metro West
02020,Ocean Bluff-Brant Rock,Marshfield,Plymouth,Metro South
02021,Canton,Canton,Norfolk,Metro West
02025,Cohasset,Cohasset,Norfolk,Metro South
02026,Dedham,Dedham,Norfolk,Metro Boston
02027,Dedham,Dedham,Norfolk,Metro Boston
02030,Dover,Dover,Norfolk,Metro West
02031,East Mansfield,Mansfield,Bristol,Metro West
02032,East Walpole,Walpole,Norfolk,Metro West
02035,Foxboro,Foxborough,Norfolk,Metro West
02038,Franklin,Franklin,Norfolk,Metro West
02040,North Scituate,Scituate,Plymouth,Metro South
02041,Green Harbor,Marshfield,Plymouth,Metro South
02043,Hingham,Hingham,Plymouth,Metro South
02044,Hingham,Hingham,Plymouth,Metro South
02045,Hull,Hull,Plymouth,Metro South
02047,Humarock,Scituate,Plymouth,Metro South
02048,Mansfield,Mansfield,Bristol,Metro West
02050,Marshfield,Marshfield,Plymouth,Metro South
02051,Marshfield Hills,Marshfield,Plymouth,Metro South
02052,Medfield,Medfield,Norfolk,Metro West
02053,Medway,Medway,Norfolk,Metro West
02054,Millis,Millis,Norfolk,Metro West
02055,Minot,Scituate,Plymouth,Metro South
02056,Norfolk,Norfolk,Norfolk,Metro West
02059,North Marshfield,Marshfield,Plymouth,Metro South
02060,North Scituate,Scituate,Plymouth,Metro South
02061,Norwell,Norwell,Plymouth,Metro South
02062,Norwood,Norwood,Norfolk,Metro West
02065,Ocean Bluff-Brant Rock,Marshfield,Plymouth,Metro South
02066,Scituate,Scituate,Plymouth,Metro South
02067,Sharon,Sharon,Norfolk,Metro West
02070,Sheldonville,Wrentham,Norfolk,Metro West
02071,South Walpole,Walpole,Norfolk,Metro West
02072,Stoughton,Stoughton,Norfolk,Metro South
02081,Walpole,Walpole,Norfolk,Metro West
02090,Westwood,Westwood,Norfolk,Metro West
02091,Bellingham,Bellingham,Norfolk,Metro West
02093,Wrentham,Wrentham,Norfolk,Metro West
02101,Boston,Boston,Suffolk,Metro Boston
02102,Boston,Boston,Suffolk,Metro Boston
02103,Boston,Boston,Suffolk,Metro Boston
02104,Boston,Boston,Suffolk,Metro Boston
02105,Boston,Boston,Suffolk,Metro Boston
02106,Boston,Boston,Suffolk,Metro Boston
02107,Boston,Boston,Suffolk,Metro Boston
02108,Boston,Boston,Suffolk,Metro Boston
02109,Boston,Boston,Suffolk,Metro Boston
02110,Boston,Boston,Suffolk,Metro Boston
02111,Boston,Boston,Suffolk,Metro Boston
02112,Boston,Boston,Suffolk,Metro Boston
02113,Boston,Boston,Suffolk,Metro Boston
02114,Boston,Boston,Suffolk,Metro Boston
02115,Boston,Boston,Suffolk,Metro Boston
02116,Boston,Boston,Suffolk,Metro Boston
02117,Boston,Boston,Suffolk,Metro Boston
02118,Boston,Boston,Suffolk,Metro Boston
02119,Roxbury,Boston,Suffolk,Metro Boston
02120,Roxbury Crossing,Boston,Suffolk,Metro Boston
02121,Dorchester,Boston,Suffolk,Metro Boston
02122,Dorchester,Boston,Suffolk,Metro Boston
02123,Boston,Boston,Suffolk,Metro Boston
02124,Dorchester Center,Boston,Suffolk,Metro Boston
02125,Dorchester,Boston,Suffolk,Metro Boston
02126,Mattapan,Boston,Suffolk,Metro Boston
02127,Boston,Boston,Suffolk,Metro Boston
02128,Boston,Boston,Suffolk,Metro Boston
02129,Charlestown,Boston,Suffolk,Metro Boston
02130,Jamaica Plain,Boston,Suffolk,Metro Boston
02131,Roslindale,Boston,Suffolk,Metro Boston
02132,West Roxbury,Boston,Suffolk,Metro Boston
02133,Boston,Boston,Suffolk,Metro Boston
