mode,season,route_id,route_name,dir_id,day_type_id,day_type_name,time_period_id,time_period_name,stop_name,parent_station,total_ons,total_offs,number_service_days,average_ons,average_offs,average_flow,ObjectId
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Woodland,place-woodl,445,9663,42,11,230,237,2253
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Allston Street,place-alsgr,584,1786,42,14,43,291,2254
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Amory Street,place-amory,1105,1444,42,26,34,447,2255
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Arlington,place-armnl,12105,19219,42,288,458,3639,2256
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Babcock Street,place-babck,1031,1715,42,25,41,424,2257
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Back of the Hill,place-bckhl,162,1077,42,4,26,203,2258
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Ball Square,place-balsq,1187,426,42,28,10,291,2259
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Beaconsfield,place-bcnfd,905,1225,42,22,29,411,2260
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Blandford Street,place-bland,2058,684,42,49,16,425,2261
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Boston College,place-lake,0,2438,42,0,58,0,2262
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Boston University Central,place-bucen,1911,1393,42,45,33,460,2263
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Boston University East,place-buest,2027,781,42,48,19,448,2264
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Boylston,place-boyls,21626,8666,42,515,206,3829,2265
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Englewood Avenue,place-engav,410,617,42,10,15,58,2266
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Fairbanks Street,place-fbkst,474,512,42,11,12,91,2267
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Fenway,place-fenwy,1013,2059,42,24,49,375,2268
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Fenwood Road,place-fenwd,330,1273,42,8,30,288,2269
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Gilman Square,place-gilmn,11458,444,42,273,11,814,2270
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Government Center,place-gover,94736,5708,42,2256,136,4408,2271
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Griggs Street,place-grigg,738,403,42,18,10,137,2272
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Harvard Avenue,place-harvd,1783,1674,42,42,40,127,2273
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Hawes Street,place-hwsst,457,76,42,11,2,90,2274
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Brigham Circle,place-brmnl,457,6426,42,11,153,641,2275
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Haymarket,place-haecl,19818,2144,42,472,51,2319,2276
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_05,MIDDAY_SCHOOL,Longwood Medical Area,place-lngmd,428,3364,42,10,80,414,2277
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_04,MIDDAY_BASE,Brookline Hills,place-brkhl,949,889,42,23,21,530,2278
Light Rail,Fall 2023,Green,Green Line,WB,day_type_01,Weekday,time_period_03,AM_PEAK,Heath Street,place-hsmnl,0,10207,42,0,243,0,2279
